species,name,family,habitat,length_cm,length_type,trophic_level,status,region,source,type,indicator,schooling_behaviour, mobility,position,activity_patterns
Carcharhinus humani,Human’s whaler shark,Carcharhinidae,pelagic-neritic,84.4,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus leucas,Bull shark,Carcharhinidae,reef-associated,400.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus limbatus,Blacktip shark,Carcharhinidae,reef-associated,286.0,TL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinidae,pelagic-oceanic,400.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus macloti,Hardnose shark,Carcharhinidae,demersal,110.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus melanopterus,Blacktip reef shark,Carcharhinidae,reef-associated,200.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus plumbeus,Sandbar shark,Carcharhinidae,benthopelagic,300.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus sorrah,Spot-tail shark,Carcharhinidae,reef-associated,160.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Glyphis gangeticus,Ganges shark,Carcharhinidae,demersal,204.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Loxodon macrorhinus,Sliteye shark,Carcharhinidae,demersal,98.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Negaprion acutidens,Sicklefin lemon shark,Carcharhinidae,reef-associated,380.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Prionace glauca,Blue shark,Carcharhinidae,pelagic-oceanic,400.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Rhizoprionodon acutus,Milk shark,Carcharhinidae,benthopelagic,175.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Rhizoprionodon oligolinx,Grey sharpnose shark,Carcharhinidae,reef-associated,84.5,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Scoliodon laticaudus,Spadenose shark,Carcharhinidae,demersal,100.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Triaenodon obesus,Whitetip reef shark,Carcharhinidae,reef-associated,213.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharias taurus,Sand tiger shark,Carchariidae,reef-associated,330.0,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Centriscus scutatus,Grooved razor-fish,Centriscidae,reef-associated,17.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Centrophorus granulosus,Gulper shark,Centrophoridae,bathydemersal,170.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthocepola abbreviata,Bandfish,Cepolidae,benthopelagic,30.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Chaetodon austriacus,Blacktail butterflyfish,Chaetodontidae,reef-associated,13.0,SL,3.3,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Chaetodon gardineri,Gardner's butterflyfish,Chaetodontidae,reef-associated,17.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Chaetodon melapterus,Arabian butterflyfish,Chaetodontidae,reef-associated,13.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Chaetodon nigropunctatus,Black-spotted butterflyfish,Chaetodontidae,reef-associated,14.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Forcipiger flavissimus,Longnose butterfly fish,Chaetodontidae,reef-associated,22.0,TL,3.1,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Forcipiger longirostris,Longnose butterflyfish,Chaetodontidae,reef-associated,22.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Heniochus acuminatus,Pennant coralfish,Chaetodontidae,reef-associated,25.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Roa jayakari,Indian golden-barred butterflyfish,Chaetodontidae,reef-associated,16.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Chanos chanos,Milkfish,Chanidae,benthopelagic,180.0,SL,2.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Chirocentrus dorab,Dorab wolf-herring,Chirocentridae,reef-associated,100.0,SL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Chirocentrus nudus,Whitefin wolf-herring,Chirocentridae,pelagic-neritic,100.0,SL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Chlorophthalmus agassizi,Shortnose greeneye,Chlorophthalmidae,bathydemersal,40.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cirrhitichthys oxycephalus,Coral hawkfish,Cirrhitidae,reef-associated,10.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cirrhitus pinnulatus,Stocky hawkfish,Cirrhitidae,reef-associated,30.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Oxycirrhites typus,Longnose hawkfish,Cirrhitidae,reef-associated,13.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Brachypleura novaezeelandiae,Yellow-dabbled flounder,Citharidae,demersal,14.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Conger cinereus,Longfin African conger,Congridae,reef-associated,140.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Coryphaena hippurus,Common dolphinfish,Coryphaenidae,pelagic-neritic,210.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cynoglossus arel,Largescale tonguesole,Cynoglossidae,demersal,40.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cynoglossus bilineatus,Fourlined tonguesole,Cynoglossidae,demersal,44.0,SL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cynoglossus carpenteri,Hooked tonguesole,Cynoglossidae,bathydemersal,23.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cynoglossus kopsii,Shortheaded tonguesole,Cynoglossidae,demersal,60.0,SL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cynoglossus puncticeps,Speckled tonguesole,Cynoglossidae,demersal,35.0,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Dactyloptena orientalis,Oriental flying gurnard,Dactylopteridae,reef-associated,40.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Brevitrygon imbricata,Bengal whipray,Dasyatidae,demersal,31.0,WD,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Brevitrygon walga,Scaly whipray,Dasyatidae,demersal,45.0,WD,3.5,questionable,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Dasyatis pastinaca,Common stingray,Dasyatidae,demersal,69.5,WD,4.1,questionable,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Himantura uarnak,Honeycomb stingray,Dasyatidae,reef-associated,200.0,WD,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Maculabatis gerrardi,Sharpnose stingray,Dasyatidae,demersal,200.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Maculabatis randalli,Arabian banded whipray,Dasyatidae,demersal,41.2,WD,3.7,endemic,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pastinachus sephen,Cowtail stingray,Dasyatidae,reef-associated,183.0,WD,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pateobatis bleekeri,Bleeker's whipray,Dasyatidae,benthopelagic,112.0,WD,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Taeniura lymma,Ribbontail stingray,Dasyatidae,reef-associated,35.0,WD,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Taeniurops meyeni,Round ribbontail ray,Dasyatidae,reef-associated,330.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Dinematichthys iluocoeteoides,Yellow pigmy brotula,Dinematichthyidae,reef-associated,12.0,SL,2.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cyclichthys orbicularis,Birdbeak burrfish,Diodontidae,reef-associated,30.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Amblygaster sirm,Spotted sardinella,Dorosomatidae,reef-associated,27.0,SL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Anodontostoma chacunda,Chacunda gizzard shad,Dorosomatidae,pelagic-neritic,22.0,SL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Herklotsichthys lossei,Gulf herring,Dorosomatidae,pelagic-neritic,8.0,SL,3.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Herklotsichthys punctatus,Spotback herring,Dorosomatidae,pelagic-neritic,11.7,TL,3.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Herklotsichthys quadrimaculatus,Bluestripe herring,Dorosomatidae,reef-associated,25.0,SL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Hilsa kelee,Kelee shad,Dorosomatidae,pelagic-neritic,35.0,TL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Nematalosa arabica,Arabian gizzard shad,Dorosomatidae,pelagic-neritic,16.5,SL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Nematalosa nasus,Bloch's gizzard shad,Dorosomatidae,pelagic-neritic,27.2,TL,2.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Nematalosa persara,Persara gizzard shad,Dorosomatidae,pelagic-neritic,15.2,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Nematalosa resticularia,Gulf gizzard shad,Dorosomatidae,pelagic-neritic,17.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Sardinella albella,White sardinella,Dorosomatidae,pelagic-neritic,15.0,TL,2.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Sardinella fimbriata,Fringescale sardinella,Dorosomatidae,pelagic-neritic,19.0,TL,2.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Sardinella gibbosa,Goldstripe sardinella,Dorosomatidae,pelagic-neritic,29.6,TL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Sardinella longiceps,Indian oil sardine,Dorosomatidae,pelagic-neritic,23.0,SL,2.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Sardinella melanura,Blacktip sardinella,Dorosomatidae,pelagic-neritic,20.3,SL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Sardinella sindensis,Sind sardinella,Dorosomatidae,pelagic-neritic,17.0,SL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Tenualosa ilisha,Hilsa shad,Dorosomatidae,pelagic-neritic,60.0,SL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Drepane longimana,Concertina fish,Drepaneidae,reef-associated,50.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Drepane punctata,Spotted sicklefish,Drepaneidae,reef-associated,50.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Dussumieria acuta,Rainbow sardine,Dussumieriidae,pelagic-neritic,20.0,SL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Dussumieria elopsoides,Slender rainbow sardine,Dussumieriidae,pelagic-neritic,20.0,SL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Echeneis naucrates,Live sharksucker,Echeneidae,reef-associated,110.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Echinorhinus brucus,Bramble shark,Echinorhinidae,bathydemersal,310.0,TL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Elops machnata,Tenpounder,Elopidae,pelagic-neritic,118.0,FL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Encrasicholina devisi,Devis' anchovy,Engraulidae,reef-associated,10.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Encrasicholina gloria,Red Sea anchovy,Engraulidae,pelagic-neritic,7.2,SL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Encrasicholina heteroloba,Shorthead anchovy,Engraulidae,reef-associated,12.0,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Encrasicholina punctifer,Buccaneer anchovy,Engraulidae,reef-associated,13.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Engraulis encrasicolus,European anchovy,Engraulidae,pelagic-neritic,20.0,SL,3.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Stolephorus indicus,Indian anchovy,Engraulidae,pelagic-neritic,15.5,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Stolephorus insularis,Hardenberg's anchovy,Engraulidae,reef-associated,8.0,SL,3.2,questionable,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Thrissina baelama,Baelama anchovy,Engraulidae,pelagic-neritic,16.0,SL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Thrissina vitrirostris,Orangemouth anchovy,Engraulidae,pelagic-neritic,22.0,TL,3.4,misidentification,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Thrissina whiteheadi,Whitehead's Thryssa,Engraulidae,pelagic-neritic,20.5,SL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Thryssa dussumieri,Dussumier's thryssa,Engraulidae,pelagic-neritic,11.0,SL,2.8,questionable,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Thryssa hamiltonii,Hamilton's thryssa,Engraulidae,pelagic-neritic,27.0,SL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Thryssa mystax,Moustached thryssa,Engraulidae,pelagic-oceanic,20.5,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ephippus orbis,Orbfish,Ephippidae,reef-associated,25.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Platax orbicularis,Orbicular batfish,Ephippidae,reef-associated,60.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Platax pinnatus,Dusky batfish,Ephippidae,reef-associated,45.0,TL,3.7,questionable,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Platax teira,Longfin batfish,Ephippidae,reef-associated,70.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Aethaloperca rogaa,Redmouth grouper,Epinephelidae,reef-associated,60.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Anyperodon leucogrammicus,Slender grouper,Epinephelidae,reef-associated,65.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cephalopholis formosa,Bluelined hind,Epinephelidae,reef-associated,34.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cephalopholis hemistiktos,Yellowfin hind,Epinephelidae,reef-associated,35.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cephalopholis oligosticta,Vermilion hind,Epinephelidae,reef-associated,30.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cephalopholis sexmaculata,Sixblotch hind,Epinephelidae,reef-associated,50.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus areolatus,Areolate grouper,Epinephelidae,reef-associated,47.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus bleekeri,Duskytail grouper,Epinephelidae,demersal,76.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus chlorostigma,Brownspotted grouper,Epinephelidae,reef-associated,80.0,TL,4,misidentification,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus coeruleopunctatus,Whitespotted grouper,Epinephelidae,reef-associated,76.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus coioides,Orange-spotted grouper,Epinephelidae,reef-associated,120.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,TRUE,,,,
Epinephelus diacanthus,Spinycheek grouper,Epinephelidae,demersal,55.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus epistictus,Dotted grouper,Epinephelidae,demersal,80.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus flavocaeruleus,Blue-and-yellow grouper,Epinephelidae,reef-associated,90.0,TL,4.2,questionable,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus latifasciatus,Striped grouper,Epinephelidae,demersal,137.0,SL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus malabaricus,Malabar grouper,Epinephelidae,reef-associated,234.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus morrhua,Comet grouper,Epinephelidae,reef-associated,90.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus multinotatus,White-blotched grouper,Epinephelidae,reef-associated,100.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus polylepis,Smallscaled grouper,Epinephelidae,demersal,61.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus polyphekadion,Camouflage grouper,Epinephelidae,reef-associated,90.0,SL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus stoliczkae,Epaulet grouper,Epinephelidae,reef-associated,38.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus summana,Summan grouper,Epinephelidae,reef-associated,52.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus tauvina,Greasy grouper,Epinephelidae,reef-associated,100.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Epinephelus tukula,Potato grouper,Epinephelidae,reef-associated,200.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Hyporthodus octofasciatus,Eightbar grouper,Epinephelidae,bathydemersal,130.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Variola louti,Yellow-edged lyretail,Epinephelidae,reef-associated,83.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cypselurus oligolepis,Largescale flyingfish,Exocoetidae,pelagic-neritic,27.7,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Parexocoetus mento,African sailfin flyingfish,Exocoetidae,pelagic-neritic,11.0,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Fistularia commersonii,Bluespotted cornetfish,Fistulariidae,reef-associated,160.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Fistularia petimba,Red cornetfish,Fistulariidae,reef-associated,200.0,TL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Galeocerdo cuvier,Tiger shark,Galeocerdonidae,benthopelagic,750.0,TL,4.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gempylus serpens,Snake mackerel,Gempylidae,pelagic-oceanic,100.0,SL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Thyrsitoides marleyi,Black snoek,Gempylidae,benthopelagic,200.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gerres filamentosus,Whipfin silver-biddy,Gerreidae,demersal,39.0,TL,3.3,misidentification,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gerres infasciatus,Nonbanded whipfin mojarra,Gerreidae,pelagic-neritic,15.3,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gerres limbatus,Saddleback silver-biddy,Gerreidae,demersal,15.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gerres longirostris,Strongspine silver-biddy,Gerreidae,reef-associated,44.5,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gerres oblongus,Slender silver-biddy,Gerreidae,reef-associated,30.0,SL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gerres oyena,Common silver-biddy,Gerreidae,reef-associated,30.0,TL,2.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pentaprion longimanus,Longfin mojarra,Gerreidae,demersal,15.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Nebrius ferrugineus,Tawny nurse shark,Ginglymostomatidae,reef-associated,320.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Glaucostegus granulatus,Granulated guitarfish,Glaucostegidae,demersal,280.0,SL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Glaucostegus halavi,Halavi ray,Glaucostegidae,benthopelagic,120.0,WD,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acentrogobius cyanomos,,Gobiidae,benthopelagic,11.5,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acentrogobius dayi,Day's goby,Gobiidae,demersal,11.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Amblyeleotris diagonalis,Diagonal shrimp goby,Gobiidae,reef-associated,11.0,SL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Amblyeleotris downingi,Downing's shrimpgoby,Gobiidae,demersal,14.0,SL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Amblyeleotris periophthalma,Periophthalma prawn-goby,Gobiidae,reef-associated,11.0,SL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Amblyeleotris triguttata,Triplespot shrimpgoby,Gobiidae,demersal,9.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Amblygobius albimaculatus,Butterfly goby,Gobiidae,reef-associated,18.0,SL,2.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Amblygobius nocturnus,Nocturn goby,Gobiidae,reef-associated,10.0,SL,2.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Asterropteryx semipunctata,Starry goby,Gobiidae,reef-associated,6.5,TL,2.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Bathygobius fuscus,Dusky frillgoby,Gobiidae,reef-associated,12.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Bryaninops amplus,Large whip goby,Gobiidae,reef-associated,4.6,SL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Bryaninops yongei,Whip coral goby,Gobiidae,reef-associated,3.5,SL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callogobius bifasciatus,Doublebar goby,Gobiidae,reef-associated,7.0,TL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callogobius plumatus,Feather goby,Gobiidae,reef-associated,3.9,SL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Coryogalops adamsoni,Adamson's goby,Gobiidae,demersal,6.5,TL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Coryogalops anomolus,Anomolous goby,Gobiidae,demersal,5.8,TL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Coryogalops monospilus,Onespot goby,Gobiidae,demersal,5.0,TL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Coryogalops tessellatus,,Gobiidae,demersal,3.5,SL,3.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cryptocentroides arabicus,Arabian goby,Gobiidae,demersal,13.5,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cryptocentrus cryptocentrus,Ninebar prawn-goby,Gobiidae,reef-associated,13.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cryptocentrus lutheri,Luther's prawn-goby,Gobiidae,reef-associated,11.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Eviota pardalota,Leopard dwarfgoby,Gobiidae,reef-associated,2.2,TL,3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Eviota prasina,Greenbubble dwarfgoby,Gobiidae,reef-associated,3.1,SL,3.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Eviota sebreei,Sebree's dwarfgoby,Gobiidae,reef-associated,2.5,SL,3.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Favonigobius melanobranchus,Blackthroat goby,Gobiidae,demersal,8.3,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Favonigobius reichei,Indo-Pacific tropical sand goby,Gobiidae,demersal,8.3,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Fusigobius inframaculatus,Innerspotted sandgoby,Gobiidae,demersal,4.6,SL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gnatholepis anjerensis,Eye-bar goby,Gobiidae,reef-associated,8.4,SL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gnatholepis caudimaculata,,Gobiidae,reef-associated,4.3,SL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gobiodon citrinus,Poison goby,Gobiidae,reef-associated,6.6,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
